Sp,Country,Region,Pop,Indiv,Site,Block,Year,MISM,MISM.F1,TotSeeds.F1
Rco,NZ,S,RcoNZSB,RcoNZSB2,West,W1,2019,0.864,0.623,51984
Rco,NZ,S,RcoNZSB,RcoNZSB3,West,W1,2019,0.985,0.895,155239
Rco,UK,Cb,RcoUKCbC,RcoUKCbC7,West,W1,2019,1.000,0.898,161272
Rco,NZ,S,RcoNZSB,RcoNZSB5,West,W2,2019,0.844,0.775,124477
Rco,NZ,C,RcoNZCD,RcoNZCD1,West,W2,2019,1.348,1.208,64696
Rco,UK,Cb,RcoUKCbB,RcoUKCbB4,West,W2,2019,1.067,0.960,8762
Rco,NZ,C,RcoNZCB,RcoNZCB4,West,W2,2019,1.281,1.301,205163
Rco,UK,G,RcoUKGB,RcoUKGB1,West,W1,2019,1.000,0.946,29765
Rco,UK,Cw,RcoUKCwB,RcoUKCwB1,West,W1,2019,1.233,1.010,93821
Rco,UK,Cw,RcoUKCwB,RcoUKCwB1,West,W3,2019,1.233,1.160,77278
Rco,NZ,W,RcoNZWD,RcoNZWD3,West,W1,2019,1.228,1.141,71209
Rco,UK,Cw,RcoUKCwB,RcoUKCwB3,West,W3,2019,0.977,1.128,57288
Rco,UK,Cb,RcoUKCbC,RcoUKCbC7,West,W2,2019,1.000,0.900,91031
Rco,NZ,S,RcoNZSB,RcoNZSB4,West,W2,2019,0.789,1.146,97747
Rco,UK,G,RcoUKGA,RcoUKGA2,West,W2,2019,0.905,0.954,102299
Rco,UK,Cb,RcoUKCbD,RcoUKCbD3,West,W2,2019,1.100,1.123,83478
Rco,UK,E,RcoUKEB,RcoUKEB3,West,W1,2019,1.214,0.929,47589
Rco,UK,Cb,RcoUKCbB,RcoUKCbB3,West,W2,2019,1.000,0.846,24886
Rco,NZ,W,RcoNZWC,RcoNZWC2,West,W1,2019,1.108,0.850,120406
Rco,UK,G,RcoUKGB,RcoUKGB5,West,W1,2019,0.963,0.828,28589
Rco,NZ,S,RcoNZSB,RcoNZSB1,West,W2,2019,0.930,0.685,221957
Rco,UK,E,RcoUKEB,RcoUKEB9,West,W1,2019,1.524,1.093,84536
Rco,UK,Cw,RcoUKCwB,RcoUKCwB3,West,W1,2019,0.977,1.031,32397
Rco,UK,Cw,RcoUKCwB,RcoUKCwB3,West,W2,2019,0.977,1.050,99535
Rco,UK,G,RcoUKGA,RcoUKGA4,West,W3,2019,1.000,0.966,95654
Rco,UK,Cb,RcoUKCbB,RcoUKCbB10,West,W2,2019,0.966,0.925,160906
Rco,UK,Cb,RcoUKCbB,RcoUKCbB3,West,W1,2019,1.000,0.889,52341
Rco,UK,Cw,RcoUKCwD,RcoUKCwD3,West,W3,2019,0.828,0.962,7890
Rco,NZ,S,RcoNZSB,RcoNZSB2,West,W2,2019,0.864,0.816,216585
Rco,NZ,S,RcoNZSB,RcoNZSB3,West,W3,2019,0.985,1.021,102456
Rco,NZ,S,RcoNZSC,RcoNZSC1,West,W1,2019,1.216,0.959,142396
Rco,NZ,S,RcoNZSC,RcoNZSC3,West,W1,2019,1.300,0.931,51359
Rco,UK,G,RcoUKGB,RcoUKGB1,West,W2,2019,1.000,0.971,61380
Rco,NZ,S,RcoNZSD,RcoNZSD1,West,W2,2019,1.196,1.171,132293
Rco,UK,Cb,RcoUKCbD,RcoUKCbD3,West,W3,2019,1.100,1.150,154571
